facebook.com,66.220.158.68
youtube.com,216.58.217.46
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,208.80.153.224
msn.com,23.101.196.141
baidu.com,123.125.114.144
blogspot.com,74.125.126.191
microsoft.com,104.43.195.251
qq.com,125.39.240.113
taobao.com,140.205.220.96
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.149.198
mozilla.com,63.245.213.24
youku.com,220.181.185.141
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
amazon.com,54.239.25.208
wordpress.com,192.0.78.17
tudou.com,123.126.98.147
yahoo.co.jp,182.22.59.229
sohu.com,220.181.90.20
apple.com,17.172.224.47
hao123.com,123.125.115.150
windows.com,191.237.78.58
ebay.com,66.211.185.25
pps.tv,58.83.190.154
xunlei.com,119.188.108.240
56.com,101.227.173.126
fc2.com,54.193.38.89
paypal.com,66.211.169.66
sogou.com,106.120.188.46
tmall.com,140.205.130.99
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,173.194.194.118
ifeng.com,210.51.19.61
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.246.79
yandex.ru,5.255.255.5
myspace.com,63.135.90.70
mail.ru,217.69.139.202
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,118.184.184.70
orkut.com,173.194.194.118
skype.com,157.56.109.9
ameblo.jp,180.233.142.129
naver.com,125.209.222.142
flickr.com,69.147.76.173
4shared.com,204.155.149.38
amazon.co.jp,54.240.248.0
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,72.21.210.29
aol.com,207.200.74.38
hotmail.com,65.55.77.28
360.cn,222.73.144.195
craigslist.org,208.82.238.129
weather.com,104.118.231.60
soku.com,43.250.12.57
alibaba.com,198.11.132.23
megaupload.com,
renren.com,106.120.180.243
livedoor.jp,125.6.149.67
blogger.com,64.233.191.191
vkontakte.ru,95.213.4.242
answers.com,67.196.156.65
rapidshare.com,10.11.12.13
daum.net,114.108.157.19
7k7k.com,115.182.59.33
2345.com,42.62.30.180
photobucket.com,209.17.80.100
mediafire.com,205.196.120.13
ehow.com,23.227.11.12
seesaa.net,59.106.98.139
